Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, None, None, Human, Greedy Player, null, null, 0, 0, 0, 0, 0
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, None, None, Madusa, Lino, doubleDealing, heuristic, 20, 20, 20, 20, 20
0, Dong, doubleDealing, Laurence, Dong, random, doubleDealing, 20, 20, 20, 20, 20
0, None, None, Sachiko, Ben, greedy, doubleDealing, 19, 20, 20, 20, 21
0, None, None, Chastity, Earl, doubleDealing, heuristic, 19, 20, 20, 20, 21
0, Artie, greedy, Artie, Mitzie, greedy, random, 19, 20, 20, 20, 21
0, Sammy, shortestChain, Sammy, Emerson, shortestChain, shortestChain, 18, 21, 20, 20, 21
0, Alfreda, heuristic, Alfreda, Carson, heuristic, random, 18, 21, 20, 20, 21
0, Pat, heuristic, Susan, Pat, greedy, heuristic, 17, 21, 21, 20, 21
0, Maxine, doubleDealing, Maxine, Shameka, doubleDealing, doubleDealing, 17, 20, 22, 20, 21
0, Doloris, shortestChain, Audria, Doloris, greedy, shortestChain, 17, 20, 22, 20, 21
0, Elva, shortestChain, Elva, Elvera, shortestChain, greedy, 17, 19, 22, 21, 21
0, Raymundo, heuristic, Raymundo, Jerilyn, heuristic, heuristic, 17, 18, 22, 22, 21
0, None, None, Errol, Tinisha, random, random, 17, 18, 22, 22, 21
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, Tinisha, random, Tinisha, Sunny, random, random, 20, 20, 20, 20, 20
0, Damion, random, Damion, Orlando, random, greedy, 20, 20, 20, 20, 20
0, Lisa, doubleDealing, Lisa, Maura, doubleDealing, greedy, 21, 19, 20, 20, 20
0, Yuonne, random, Fallon, Yuonne, random, random, 21, 18, 20, 20, 21
0, Celestine, shortestChain, Celestine, Leila, shortestChain, heuristic, 21, 18, 20, 20, 21
0, Alonso, shortestChain, Alonso, Eugene, shortestChain, shortestChain, 21, 18, 19, 21, 21
0, Thurman, greedy, Thurman, Sean, greedy, random, 21, 18, 19, 21, 21
0, Chastity, doubleDealing, Chastity, Jamey, doubleDealing, greedy, 20, 19, 19, 21, 21
0, Kenyatta, shortestChain, Cupid, Kenyatta, shortestChain, shortestChain, 20, 18, 19, 21, 22
0, Susan, greedy, Ellyn, Susan, random, greedy, 20, 18, 19, 21, 22
0, Elva, shortestChain, Jeremy, Elva, random, shortestChain, 19, 19, 19, 21, 22
0, None, None, Magan, Dong, heuristic, doubleDealing, 18, 19, 19, 22, 22
0, Marta, shortestChain, Janelle, Marta, greedy, shortestChain, 18, 19, 19, 22, 22
0, Doloris, shortestChain, Doloris, Delsie, shortestChain, heuristic, 18, 18, 19, 23, 22
0, Mario, shortestChain, Mario, Bobby, shortestChain, greedy, 18, 18, 18, 24, 22
0, Sammy, shortestChain, Sammy, Jerilyn, shortestChain, heuristic, 18, 17, 18, 25, 22
0, Chin, shortestChain, Chin, Emelina, shortestChain, shortestChain, 18, 17, 17, 26, 22
0, Stacey, doubleDealing, Stacey, Lashaun, doubleDealing, greedy, 18, 17, 17, 26, 22
0, Bill, greedy, Bill, Elvera, greedy, greedy, 18, 16, 17, 26, 23
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
0, Emelina, shortestChain, Damion, Emelina, random, shortestChain, 20, 20, 20, 20, 20
0, Magaly, shortestChain, Magaly, Elva, shortestChain, shortestChain, 19, 20, 20, 21, 20
0, Lisa, doubleDealing, Lisa, Stacey, doubleDealing, doubleDealing, 19, 20, 20, 21, 20
0, Jerilyn, heuristic, Jerilyn, Robby, heuristic, random, 19, 20, 20, 21, 20
0, Desmond, heuristic, Desmond, Courtney, heuristic, doubleDealing, 18, 20, 21, 21, 20
0, None, None, Marta, Coleman, shortestChain, heuristic, 18, 20, 22, 21, 19
0, Lino, heuristic, Ellyn, Lino, random, heuristic, 18, 20, 22, 21, 19
0, Andy, doubleDealing, Kermit, Andy, greedy, doubleDealing, 17, 20, 23, 21, 19
0, Chin, shortestChain, Chin, Earl, shortestChain, heuristic, 17, 19, 23, 21, 20
0, Gerry, shortestChain, Gerry, Marybelle, shortestChain, greedy, 17, 19, 22, 22, 20
0, None, None, Ben, Jerica, doubleDealing, heuristic, 17, 18, 22, 23, 20
0, None, None, Porter, Eugene, doubleDealing, shortestChain, 17, 18, 22, 23, 20
0, Chanda, doubleDealing, Chanda, Leila, doubleDealing, heuristic, 17, 18, 22, 23, 20
0, Bobby, greedy, Bobby, Rudolph, greedy, greedy, 17, 18, 21, 23, 21
0, None, None, Artie, Elvera, greedy, greedy, 17, 18, 21, 23, 21
0, None, None, Magan, Thurman, heuristic, greedy, 17, 18, 21, 23, 21
0, None, None, Andres, David, doubleDealing, shortestChain, 17, 18, 21, 23, 21
0, Cherelle, doubleDealing, Cherelle, Laurence, doubleDealing, random, 17, 18, 21, 23, 21
0, Shameka, doubleDealing, Shameka, Pat, doubleDealing, heuristic, 16, 18, 21, 23, 22
0, None, None, Leticia, Sharmaine, doubleDealing, heuristic, 16, 18, 20, 23, 23
0, Sammy, shortestChain, Sammy, Guadalupe, shortestChain, greedy, 16, 18, 20, 23, 23
