Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount
0, None, None, Bobby, Laurence, greedy, random, 6, 2, 2
0, Lynn, heuristic, Carson, Lynn, random, heuristic, 6, 2, 2
0, Julian, heuristic, David, Julian, random, heuristic, 5, 2, 3
0, Porter, random, Eugene, Porter, random, random, 4, 2, 4
0, Bill, greedy, Bill, Courtney, greedy, random, 4, 2, 4
1, Carson, heuristic, Porter, Carson, random, heuristic, 3, 3, 4
1, None, None, Laurence, Bill, random, greedy, 2, 3, 5
1, None, None, David, Bobby, heuristic, greedy, 2, 3, 5
1, Julian, heuristic, Julian, Lynn, heuristic, heuristic, 2, 3, 5
1, Courtney, greedy, Eugene, Courtney, random, greedy, 2, 3, 5
2, Lynn, heuristic, Courtney, Lynn, greedy, heuristic, 1, 4, 5
2, None, None, Laurence, David, random, heuristic, 1, 3, 6
2, Porter, heuristic, Porter, Bill, heuristic, greedy, 1, 3, 6
2, None, None, Bobby, Carson, greedy, heuristic, 1, 2, 7
2, None, None, Eugene, Julian, greedy, heuristic, 1, 2, 7
3, David, heuristic, Courtney, David, heuristic, heuristic, 1, 2, 7
3, Porter, heuristic, Porter, Bill, heuristic, heuristic, 1, 2, 7
3, None, None, Laurence, Eugene, random, greedy, 1, 2, 7
3, None, None, Julian, Lynn, heuristic, heuristic, 1, 2, 7
3, Carson, heuristic, Bobby, Carson, greedy, heuristic, 1, 2, 7
4, None, None, Eugene, Carson, greedy, heuristic, 1, 1, 8
4, Porter, heuristic, Lynn, Porter, heuristic, heuristic, 1, 1, 8
4, None, None, Julian, Courtney, heuristic, heuristic, 1, 1, 8
4, Bobby, heuristic, Bobby, Laurence, heuristic, random, 1, 1, 8
4, None, None, David, Bill, heuristic, heuristic, 0, 1, 9
5, Carson, heuristic, Bobby, Carson, heuristic, heuristic, 0, 1, 9
5, None, None, Bill, Eugene, heuristic, greedy, 0, 1, 9
5, Laurence, heuristic, Laurence, Lynn, heuristic, heuristic, 0, 1, 9
5, None, None, Courtney, David, heuristic, heuristic, 0, 1, 9
5, Porter, heuristic, Julian, Porter, heuristic, heuristic, 0, 1, 9
6, Carson, heuristic, Carson, Courtney, heuristic, heuristic, 0, 1, 9
6, Lynn, heuristic, Lynn, Eugene, heuristic, greedy, 0, 1, 9
6, None, None, Bobby, Bill, heuristic, heuristic, 0, 0, 10
6, Julian, heuristic, Julian, Porter, heuristic, heuristic, 0, 0, 10
6, None, None, Laurence, David, heuristic, heuristic, 0, 0, 10
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount
0, Eugene, random, Eugene, Laurence, random, random, 2, 1, 1
0, Julian, heuristic, Julian, Bobby, heuristic, greedy, 2, 1, 1
1, Julian, heuristic, Julian, Laurence, heuristic, random, 2, 0, 2
1, Bobby, heuristic, Bobby, Eugene, heuristic, random, 1, 0, 3
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount
0, Julian, heuristic, Eugene, Julian, random, heuristic, 2, 1, 1
0, Bobby, greedy, Bobby, Laurence, greedy, random, 1, 1, 2
1, Julian, heuristic, Julian, Laurence, heuristic, greedy, 0, 2, 2
1, Eugene, heuristic, Bobby, Eugene, greedy, heuristic, 0, 1, 3
